CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
U52599DL2004PTC126424,Deregistered,,,,2025-10-16
U52599DL2006PTC152466,Deregistered,,,,2025-10-16
U52599DL2006PTC152623,Deregistered,,,,2025-10-16
U52599DL2013PTC247680,Deregistered,,,,2025-10-16
