CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
U74999MH2018PTC306299,Deregistered,,,,2025-10-16
U74999MH2018PTC306495,Deregistered,,,,2025-10-16
U74999MH2018PTC306532,Deregistered,,,,2025-10-16
U74999MH2018PTC306645,Deregistered,,,,2025-10-16
U74999MH2018PTC306931,Deregistered,,,,2025-10-16
U74999MH2018PTC307009,Deregistered,,,,2025-10-16
