CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
U52590DL2015PTC287576,Deregistered,,,,2025-10-16
U52590DL2020PTC373351,Deregistered,,,,2025-10-16
U52590DL2021PTC379323,Deregistered,,,,2025-10-16
U52590DL2022PTC399869,Deregistered,,,,2025-10-16
